FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,lon,lat,dt
2348,Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/248568.html,10818,1493942400000.0,11:00,Landslide on Jammu-Srinagar Highway,"Article: ""A landslide halted the movement of vehicular traffic for more than three hours on Jammu Srinagar Highway at Digdool falling under Ramban police jurisdiction.""","Banihal, Ramban, Jammu & Kashmir",10km,landslide,rain,small,above_road,0,0, ,http://www.greaterkashmir.com/cms/gall_content/2017/5/2017_5$largeimg206_May_2017_013406993.jpg, ,GLC, ,33.32217847,75.19281971,India,IN,Jammu and Kashmir,Gund,12.42,1499990400000.0,1606348800000,8370426.401650271,3938146.2631830163,2017-05-05
2357,ChandigarhX,http://chandigarhx.com/landslide-in-shimla-new-bus-stand-area-is-closed/,10858,1491436800000.0, ,Landslide on Shimla-Kalka National Highway in Shimla,"After days of incessant rainfall, landslide causes road to cave in near bus terminal in Shimla","ISBT, Shimla, India",exact,landslide,continuous_rain,medium,below_road,0,0, ,http://chandigarhx.com/wp-content/uploads/2017/04/ximage-1.jpg.pagespeed.ic.3nq65wQIQ_.webp,Video in link,GLC, ,31.09793945,77.15163968,India,IN,Himachal Pradesh,Simla,7.82,1501718400000.0,1606348800000,8588481.242932409,3645474.9879310373,2017-04-06
2359,Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/247511.html,10839,1493078400000.0, ,Significant landslide blocks road near Drabshalla,"Article: ""The Stretch near Kulgadi Drabshalla on Kishtwar -Thatri road remained closed for second day today, reports said.  They said continuous landslides and shooting stones have blocked the stretch completely. ""","Drabshalla, Kishtwar, Jammu & Kashmir",1km,landslide,rain,medium,above_road,0,0, ,http://www.greaterkashmir.com/cms/gall_content/2017/4/2017_4$largeimg225_Apr_2017_011612687.jpg, ,GLC, ,33.17191499,75.81074366,India,IN,Jammu and Kashmir,Shandero,5.03,1500249600000.0,1606348800000,8439213.38100192,3918145.0982802752,2017-04-25
2384,State Times,https://news.statetimes.in/landslide-shuts-batote-doda-kishtwar-nh/,10851,1491609600000.0,05:00,Landslide on Batote-Doda-Kishtwar National Highway,"Landslide above road near Assar totally blocks road, road closed","near Assar, Doda, Jammu & Kashmir",10km,landslide,unknown,medium,above_road,0,0, ,https://news.statetimes.in/wp-content/uploads/2017/04/Batote-Doda-Kishtwar-NH1B-blocked-at-Dansal-area-1.png, ,GLC, ,33.12172879,75.40856188,India,IN,Jammu and Kashmir,Doda,13.26,1501718400000.0,1606348800000,8394442.70948939,3911472.5933196554,2017-04-08
2391,The Himalayan Times,https://thehimalayantimes.com/nepal/landslide-obstructs-pokhara-baglung-road-section/,10877,1474156800000.0,15:00,Obstructed Pokhara-Baglung road via Landslide,"The Pokhara-Baglung road section has been obstructed due to a landslide triggered by incessant rainfall on Sunday.  According to the District Police Office, Parbat, vehicular movement along the road section has been obstructed since 3:30 am today after t",Kushma Municipality – 11 in Parbat along the Pokhara-Baglung road section,10km,landslide,rain,medium,above_road,0,0, , , ,GLC, ,28.219177,83.686001,Nepal,NP,Dhawalagiri,Khaldanda,15.49,1499731200000.0,1606348800000,9315883.017845387,3276635.2032998805,2016-09-18
2401,NASA SERVIR Science Coordination Office & SERVIR-Mekong,https://servir.adpc.net/,12297,, ,Landslide in Myanmar, , ,exact,landslide,unknown, , ,0,0, , ,Eifert/Low/Poor imagery,SMMML,718,26.08883668,97.19520685,Myanmar,MM,Kachin,Hkada,24.14,1534464000000.0,1606348800000,10819720.934088899,3010087.9134529983,
2404,NASA SERVIR Science Coordination Office & SERVIR-Mekong,https://servir.adpc.net/,12296,, ,Landslide in Myanmar, , ,exact,landslide,unknown, , ,0,0, , ,"Eifert/Medium/adjusted confidence/Clear scarring, extent/timing of landsliding unsure",SMMML,717,26.0938302,97.20295574,Myanmar,MM,Kachin,Lahkrakawng,23.37,1534464000000.0,1606348800000,10820583.536577914,3010706.8642926854,
2405,The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-12/landslide-obstructs-narayangadh-muglin-road-section-20170712172012.html,10881,1499817600000.0,16:00,Landslide along Narayangadh-Muglin road,"Landslide following continuous rains obstructs road, hundreds of vehicles stranded. Expected to be cleared after ~12hrs elapse since landslide.","Kabilas, Narayani",10km,landslide,continuous_rain,medium,above_road,0,0, ,http://assets-cdn.ekantipur.com/images/third-party/miscellaneous/muglin-12072017054453-1000x0-12072017073523-1000x0.jpg, ,GLC, ,27.79280733,84.43347027,Nepal,NP,Narayani,Narayangarh,12.28,1499817600000.0,1606348800000,9399090.916699369,3222876.5582856243,2017-07-12
2423,India Today in,http://indiatoday.intoday.in/story/jammu-srinagar-highway-closed-fourth-day-landslides-snowfall/1/875629.html,10836,1486166400000.0,unknown,Jammu-Srinagar Highway Landslides between Ramban and Ramsu,"Due to fresh snowfall on the highway, particularly at Qazigund, Jawahar tunnel, Shaitan Nallah and Banihal and landslides between Ramban and Ramsu, the highway was again closed for any traffic movement, a traffic police official said.","NH-1A, Banihal, Ramban, Jammu & Kashmir, 182148",10km,landslide,snowfall_snowmelt,medium,above_road,0,0, , , ,GLC, ,33.27070612,75.17529327,India,IN,Jammu and Kashmir,Chaunkri,17.36,1508716800000.0,1606348800000,8368475.367162731,3931291.0442336686,2017-02-04
2444,The Tribune,http://www.tribuneindia.com/news/uttarakhand/4-killed-in-mishaps/435142.html,10866,1499731200000.0, ,Fatal landslide in Bangpani,"Landslide triggered by heavy rains crushes tent, kills occupant.","Bangpani (??), Pithoragarh, Uttarakhand",50km,landslide,continuous_rain,small,unknown,1,0, , , ,GLC, ,29.83416882,80.26894533,India,IN,Uttaranchal,Tham,10.22,1499817600000.0,1606348800000,8935498.120537404,3482251.552359645,2017-07-11
